,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1105,"[u'Diploma In Advanced Computing, Cdac', u'Degree In Computer Science And Engineering', u'12th Standard']","[u'Barclays Bank', u'Cell C', u'Datum Communication', u'Fundtech Corp', u'GE Capital International Services(It)', u'Gijimaast', u'Goldenrule Technologies', u'Hitachi , Japan (Offshore Dev. Ltitl)', u'Lefatshe Technologies', u'Telkom']","[u'Solution SOA Architect', u'Solutions Specialist']","[u'SR J2EE Developer', u'J2EE and Weblogic Specialist', u'Java Developer', u'Tech Lead', u'SR. Software Engg Team Leader', u'Software Engineer', u'Programmer']",Middleware Specialist,"[u'J2EE Developer Solution Architect', u'J2EE Developer Integration Specialist']","[u'J2ee', u'OSB', u'Open Source tools', u'OER', u'OEM', u'Jdeveloper', u'SOA', u'Windows', u'Oracle Weblogic 8.1/9.1/10gr3', u'Aix,Linux,Hp-Ux', u'Ibm Websphere 5.1/6.0/6.1']",1106
1106,[u'M.Sc'],[u'Edge Technologies'],"[u'.NET developer', u'C# .NET', u'asp .NET', u'sql']",[],Software Developer,[],"[u'C#', u'sql', u'Ado .NET', u'Javascript']",1107
1107,"[u'Bcom', u'BSC Computer Science', u'Diploma']","[u'Business Connextion', u'Comparex Services UK', u'Phambili', u'Qdata Consulting']","[u'Senior Project Manager', u'Programme Manager']",[u'Q Data Consulting Developer Team Leader'],Senior Project Manager,"[u'Project Leader Project Manager', u'Developer']","[u'Meeting Facilitation', u'Documentation', u'Project Management', u'Reports', u'Project Planning', u'Microsoft Project', u'Design', u'Customer Relations', u'Consulting', u'Budgeting', u'Estimating', u'Prince 2', u'Mentoring', u'Computer Hardware', u'infornation Security', u'Mining']",1108
1108,[u'B.Tech. In Computer Science And Engineering'],"[u'Kpit Cummins Info Systems', u'Satyam Computer Services']",[],[],SAP Pi Developer,[u'SAP Pi Consultant'],[u'Sap Pi'],1109
1109,"[u'Customer Care And Billing (Cc&B) Certificate', u'Diploma', u'Rpg Iv Certificate', u'Senior Certificate']","[u'Eskom Distribution', u'Group Customer Service -Eskom', u'Mediscor']","[u'Business Analyst', u'Analyst Job', u'Programming(Trainee) and other', u'Analyst Job', u'Programming(Trainee)']",[],Credit Controller Assisting Business Analyst in Group IT,"[u'Business Analyst Trainee', u'RPG Developer Trainee']","[u'Problem Solving', u'Ms Powepoint 2007', u'Ms Excell 2007', u'Microsft Office 2010', u'Ms Word 2007', u'Programming', u'Ms Visio,Erd,', u'Analytical Skills', u'N+', u'Oracle 10g', u'Advance Vb .Net 2005,Asp .NET', u'Sql 10g', u'A+', u'Vb .Net 2005', u'Business Analysis', u'Rpg Developer(Programming Skills)']",1110
1110,"[u'BTECH', u'National Certificate']","[u'Icesa Campus', u'Misava']",[u'Business Analyst'],[],Developer C#.NET,[u'Lecturer JNR Lecturer'],"[u'VB .NET MSSQL', u'PHP MYSQL ASP .NET', u'Technical Support', u'VB .NET', u'JSON', u'SQL', u'CSS', u'C#', u'JQUERY']",1111
1111,"[u'Web Development', u'Network Administrtor']",[u'Kyacom Communication'],"[u'PHP Developer', u'Web Develober / Designer', u'IT Technician', u'Web Develober / Designer', u'IT Technician']",[],Web Developer,[],"[u'Html / Css', u'PHP', u'Javascript', u'Photoshop', u'Graphic / Web Design', u'ASP']",1112
1112,"[u'M.C.A (Masters Computer Applications', u'B.C.A (Bachelor Computers Applications', u'S.S.C']",[u'Creative Soft'],[],[],Java Developer,[u'Java Developer'],"[u'Java', u'.Net', u'C + +', u'Database Administration']",1113
1113,"[u'Web Development', u'Advanced Certificate In Visual Communication']","[u'Creative Emotions', u'Ixnet', u'World-Stream']",[],[],Web Developer,"[u'Web Designer', u'Web Designer']","[u'Flash', u'HTML', u'Java Script']",1114
1114,"[u'National Security Diploma', u'Meat Technology Certificate']","[u'Meat Sameg', u'Mulilo']",[],[],Owner Butchery Farm Building Developer,[u'Provincial Area Manager'],"[u'Management', u'Training']",1115
1115,"[u'MCSA', u'Information Technology', u'Senior Certificate']","[u'Figtory', u'Thinkroom Consulting']","[u'SQL Database administrotor', u'C# Developer']",[],Developer intern,[u'Itukise Intern'],"[u'Microsoft SQL Server 2014', u'C#', u'I currently use MicroSoft Visual Studio', u'Programming', u'SQL', u'ASP.NET', u'AngularJS', u'VB.Net', u'Java', u'SQL Reporting']",1116
1116,[u'Matric'],"[u'Amazitech Computers', u'Andre Roux Computing CC. (Act)', u'Betta Sanitaryware', u'Betta Sanitaryware \tChamdor', u'Moolman Mining - Wonderwater Mine', u'Moolmans', u'Softline Pastel Payroll']","[u'HR Administrator', u'Maintenance Planner Earthmoving Equipment/Aircraft', u'Any Career in Aviation', u'Maintenance Planner Earthmoving Equipment/Aircraft', u'Any Career in Aviation']","[u'Seminar Sales Consultant', u'HR Co-Ordinator', u'HR Co-Ordinator', u'HR Administrator', u'Maintenance Planner', u'Data Controller', u'JNR. IT Technician', u'JNR. IT Technician']",Training Program Developer,"[u'Training Program Developer', u'Seminar Sales Consultant']","[u'Letters', u'Budgeting', u'Reports', u'Telephone Skills', u'Administration', u'Personnel Management', u'Contract Management', u'Recruiting', u'Cost Control', u'Computer Sales', u'Accountancy']",1117
1117,"[u'Master Of Computer Application', u'Bsc Electronics']","[u'Naval Ship Repair Yard', u'Simsoft']",[],[],Softare Developer,[u'Programmer'],"[u'Vb 6.0', u'Sql Server 7', u'Microsoft Office', u'Flash Mx', u'C,C++', u'Adobe Photoshop 7', u'Java', u'Oracle Pl Sql']",1118
1118,"[u'Microsoft Certified Solutions Associate', u'Microsoft Certified Professional', u'ITIL V3 Foundation', u'Certified Secure Computer User', u'B.sc (Hons) Business Information Systems']","[u'Ministry of Safety & Security', u'Tata Consultancy Services']","[u'Systems Analyst', u'MCSE', u'System Admin', u'System Support', u'System Engineer']",[],End User Support,[u'Systems Developer'],"[u'SYSTEM IMPLEMENTATION', u'SYSTEM ANALYSIS', u'SYSTEM ADMINISTRATION', u'SYSTEM SUPPORT', u'SYSTEM DESIGN', u'C# .NET', u'PHP', u'MSCA', u'MYSQL', u'JAVA', u'HTML', u'Database Administration', u'CISCO']",1119
1119,[u'12grade'],"[u'CAP Gemini Ernst & Young', u'Elektroesfera Lda.', u'Heatransfer LDA', u'Jmalves C.C. ( Cape Town \u2013 )', u'Link : Inesc Consultadoria.', u'Visualforma LDA']",[],"[u'Senior Programmer and Consultant', u'Senior Technical Coordinator', u'Company Manager Developer']",Microsoft Dynamics Senior Consultant,"[u'Senior Consultant and Responsible for Hardware Dep', u'Company Manager']","[u'Programer And Analyst', u'It Consultant', u'Manager', u'Microsoft Dynamics Navision']",1120
1120,"[u'Masters in Business Administration', u'BSc (Hon) Management of Technology', u'Practical Project Management', u'Bsc Information Technology']","[u'Department Health & Social Services Mpumalanga', u'Department of Correctional Services', u'Department of Health & Social Services Mpumalanga', u'Eskom Holdings', u'ICTI', u'South African Social Security Agency', u'University of South Africa (UNISA)']","[u'IT Manager', u'IT Security Manager', u'IT Security Manager']","[u'Assistant Manager ICT Infrastructure', u'Senior Admin Office Management Information Office', u'IT Technician', u'System Developer']",Senior Advisor Information Security,"[u'Network Security Manager', u'Manager Information Systems Security']","[u'Ethical Hacking', u'Network Security', u'Information Security', u'Application & Data Security Specialist', u'Cloud Application Administrator', u'Windows 95/98/Nt/2000/Xp, Linux', u'Windows 7', u'Windows 2008 server', u'Java, C/C++, Visual Basic,Prolog', u'Pfma', u'Mysql, Microsoft Sql Server', u'MS Visual Studio 2005, Netbeans IDE', u'Microsoft Visio', u'Microsoft Project', u'Xml, Xslt, Xhtml, Html, Css, Jsp, Javascript, Php', u'Software Engineering', u'Cobit', u'Configuring And Deploying Enterprise Lan Switching', u'Assembler, Vhdl,Microprocessor Programming,Matlab', u'Microsoft Operations Framework', u'Vcx Ip Telephony And Ip Messaging', u'Project Management', u'SOA', u'ITIL']",1121
1121,"[u'Lectora Publisher: Advanced', u'Lectora Publisher: Beginner', u'Css, Dhtml, Php, Mysql, Flash, Corel', u'Html, Photoshop, Dreamweaver, Frontpage', u'Vb.Net, Asp.Net, Xml, Sql', u'Life Skills', u'Icdl (International Computers Driving', u'Web Development & Programming', u'Service Technician A+', u'Senior Certificate']","[u'Cyberface', u'Deloitte & Touche', u'Edcon', u'Gijimaast', u'Merloni', u'Self Employed', u'SITA (State Information Technology Agency)']","[u'Web/Graphic/E-Learning Designer/Developer', u'SABA Lectora Developer']","[u'Management Programmer', u'Senior Analyst', u'Operational Programmer', u'Intern Web Developer', u'Field Technician', u'Web Design Web Developer']",Freelance Web Graphic E-Learning Designer Developer,"[u'Senior Content Developer Designer', u'Owner Managing Director Designer']","[u'HTML', u'Lector Publisher', u'Web Design', u'E-Learning (Scorm)', u'Adobe Photoshop', u'Adobe Flash', u'Adobe Captivate', u'Javascript', u'Adobe Dreamweaver', u'CSS', u'Wordpress', u'Macromedia Authorware']",1122
1122,[u'Matric'],"[u'Conversation LAB', u'First View', u'Nitsak Interactive', u'UKZN Extended Learning']",[u'Seo and PPC analysis'],[u'Web Designer'],Search Manager,"[u'Digital Specialist', u'Digital Interface Developer']","[u'CSS', u'HTML', u'white hat seo', u'AMP', u'PPC', u'Schema Data', u'Google analytics', u'Google Tag Manager', u'JS and Node', u'data analysis', u'reporting', u'conversion analysis']",1123
1123,"[u'New Managers Programme', u'Project Management', u'B.Com']","[u'Andersen Consulting NOW Accenture', u'Multichoice', u'Rethink Management Consulting', u'Rotek Engineering', u'Vodacom']","[u'Business Analyst', u'Business Process Analyst', u'Project Manager', u'Business Process Analyst', u'Project Manager']","[u'Business Analyst on Eppix Billing System', u'Business Analysis', u'Programmer Developer']",Business Analyst,"[u'Business Analyst', u'Senior Consultant']","[u'Analysis', u'Persuasion', u'Process Modelling', u'Time Manangement', u'UML', u'Presentation', u'Business Specification Writing', u'Communication', u'Investigating', u'Designing', u'Project Management', u'Technical', u'Software Ag Process Mapping', u'Integration And Configuration']",1124
1124,"[u'Master Of Fine Arts In Filmmaking', u'Bachelor Of Commerce-Marketing And Business Admin', u'Kenya Certificate Of Secondary Education']","[u'8seconds: Image & Brand Creation', u'8seconds: Image & Brand Development', u'Five Interactive', u'Free-Lance', u'Intrepid Data Systems', u'J. Walter Thompson-Kenya', u'Kenya Televison Network-Baraza', u'Lowe Scanad-Kenya', u'Messiah College.']",[],"[u'Documentary Producer', u'Professional Television Actress', u'Business Developer', u'Business Developer', u'Account Executive Trainee', u'Office Administrator']",Account Executive,"[u'Account Executive', u'Account Executive']","[u'Computer Literacy', u'Driving']",1125
1125,[u'Bsc Information Science'],"[u'Accenture Consulting', u'Cyberpro', u'Gestetner', u'Gijima AST', u'Leafwireless', u'SITA (State Information Technology)']","[u'Integration Specialist', u'Integration Consultant', u'Integration Developer', u'Systems Integration Specialist']","[u'C# .NET Developer', u'C# .NET Developer', u'C# Web Developer']",Systems Integration Specialist,"[u'Systems Integration Specialist', u'Systems Integration Specialist']","[u'SOA', u'Operations Architecture', u'SQL Server', u'C#', u'Technical Architecture', u'Integration Architecture', u'Microsoft BizTalk Expect', u'.Net Framework', u'Application Architecture', u'ASP.NET MVC', u'Application Clustering and Virtualization and environment design. Software development lifecycle', u'WCF', u'SharePoint Server', u'Web Infrastructure', u'Microsoft Azure']",1126
1126,"[u'Diploma In Java,As/400', u'B.Tech(Computer Science)', u'Post Graduate Diploma In Computer Applications']","[u'ABSA Investment Management Services', u'Bosasa Group of Companies', u'KE Concepts', u'Ornico Media Group', u'Saiit', u'SAN Infomate PVT', u'Sword-Sa.']",[],"[u'.NET Developer.', u'Application Developer.', u'Senior Programmer', u'SNR Programmer']",Developer,"[u'Software Engineer', u'Senior Programmer Specialist Group']","[u'C#, Vb.Net Both Win And Web Applications', u'Oracle,Sql Server 7.0/Sql Server 2000', u'Html, Javascript And Xml', u'Sql Server 2000 , Oracle 10g And Sql Server 2005', u'Vb/D2k', u'Cobol, Rpg 400, Db/400', u'C, C++']",1127
1127,"[u'Oracle Developer', u'Sql Server 2000 Administration Attendance', u'B.Sc Computer Science']","[u'Ahc-Mms', u'Webcon Zambia', u'Zambia Revenue Authority', u'Zesco']",[],"[u'Software Engineer-Development and Support', u'Website Developer']",Software Engineer,"[u'Senior Analyst Programmer', u'Analyst Programmer-Web Applications']","[u'Php, Pearl, Asp, Front Page (Html),Vb 6.0,Crystal', u'Oracle Developer ,Powerbuilder', u'Sql Server 2000', u'Visio 2000,Macromedia Mx', u'Oracle Financials']",1128
1128,[u'LLB'],"[u'Brandsrock Jigsaw', u'Coca Cola Peninsula Beverages']","[u'Sales Rep', u'Trade Marketer']",[],Account Developer,"[u'Sales Trainee', u'Project coordinator']","[u'Microsoft Office', u'Email', u'Team working. ... Loyalty. ... Positivity. ... Creativity. ... Adaptability. ... Tenacity. ...', u'Communication', u'Extrovert', u'Socialite love life']",1129
1129,"[u'P.G.D.C.A', u'D.C.A', u'B.Tech(Bachelor Of Engineering)']","[u'Cyber Village', u'HCL', u'Ionize', u'T-Systems']",[u'SAP BW'],[u'Production Engineer'],Java Developer J2EE Developer,"[u'SAP BW', u'Analyst Programmer']","[u'Java,J2ee,Oracle,DB2,MYSQ:,MSSQL', u'Weblogic,Websphere,Jboss,Tomcat', u'Sap Bw,Sap Abap,Java,J2ee', u'Integration and Configuration', u'IDOCS ALE BAPI EDI', u'SAP BO,SAP B1', u'SAP BW,SAP ABAP']",1130
1130,"[u'Certificate Programme In Business And Management', u'Diploma In Internet Development Specialist', u'Diploma In Computer Science']",[u'Clientele Life'],[],[],Software Developer Assistant Manager,[],"[u'Universe/Pick D3 Programmer/Linux Administrator', u'Php/Asp/Html/Javascript', u'Trader Technical And Fundamentals', u'Sql/Mysql/Stored Procedures', u'Business Analyst/Java/Vb/C#/Consultant']",1131
1131,[u'National Diploma Information Technology'],[u'3fifteen'],[],[],Development Manager,[u'Developer'],"[u'Javascript', u'Html', u'Customer Relations', u'Dhtml', u'Goal Setting', u'Internet Information Server', u'Microsoft Certified Database Administrator', u'Microsoft Certified Systems Developer', u'Microsoft Certified Systems Engineer', u'Hiring', u'asp', u'Com+', u'Microsoft Windows 2000', u'Microsoft Sql 7.0']",1132
1132,"[u'Masters Com (Business Management)', u'Hons Com']","[u'Frost & Sullivan', u'Schletter', u'Siemens']",[u'Business Developement'],[],Business Developer,"[u'Commercial Analyst', u'Industry Analyst']","[u'\u2022\tExcellent Communication Both In English, French And German', u'\u2022\tAnalytical Skills,', u'\u2022\tPresentation Skills', u'\u2022\tTime Management', u'\u2022\tTeam Leadership']",1133
1133,[],[u'Maravedi'],"[u'BI Developer', u'SQL Developer', u'Data Analyst', u'SQL Developer', u'Data Analyst']",[],SQL Developer,[],"[u'T-Sql', u'C# (Ado.Net)', u'Etl(Ssis)', u'Ssrs', u'XML']",1134
1134,"[u'Bcom Informatics 3rd Year', u'Cobol Programming Certificate', u'National Certificate: Computer Programming- Cobol', u'Informatoin Technology 1st Year', u'Matric']","[u'ABSA Bank', u'Standard Bank - Corporate Investment Banking', u'Standard Bank Group']",[u'Designer'],[],Designer,"[u'System Developer', u'System Builder']","[u'MVS', u'Db2\\Sql', u'JCL', u'Easytrieve Plus', u'Cobol', u'Dfsort', u'Cics', u'Javascript', u'Xhtml', u'Xcoms', u'IMS', u'Shandi : Screen Handler And Network Data Interface']",1135
1135,"[u'Computer Engineering', u'Cisco Certified Network Professional1', u'Ccna 1 Through 4']","[u'Deloitte & Touche', u'Powertech IST', u'Saab']","[u'Business Analyst', u'Project Engineer', u'Systems analyst', u'Project Engineer', u'Systems analyst']",[],System Consultant Analyst,"[u'Software Engineer', u'Software Developer']","[u'Consulting', u'Test Plans', u'Testing', u'Support', u'Java', u'Pl/Sql']",1136
